Operator_ID,Operator_Name,Experience_Years
OP-200,James Anderson,5
OP-201,Thomas Lewis,14
OP-202,Paul Hernandez,22
OP-203,Unknown Operator,14
OP-204,Patricia Thomas,27
OP-205,Charles Martinez,12
OP-206,Emily Davis,8
OP-207,Jane Smith,30
OP-208,Susan Robinson,21
OP-209,Jane Smith,28
OP-210,Christopher Walker,23
OP-211,Robert Johnson,11
OP-212,Robert Johnson,20
OP-213,Joseph Clark,13
OP-214,Susan Robinson,17
OP-215,Emily Davis,4
OP-216,Dorothy Lee,18
OP-217,David Taylor,29
OP-218,Barbara White,13
OP-219,Emily Davis,11
OP-220,William Harris,22
OP-221,Robert Johnson,3
OP-222,Emily Davis,12
OP-223,Joseph Clark,22
OP-224,Mark Wright,25
OP-225,Donald Hill,10
OP-226,William Harris,17
OP-227,Christopher Walker,28
OP-228,Mark Wright,4
OP-229,Margaret Rodriguez,14
OP-230,Nancy Young,20
OP-231,Joseph Clark,18
OP-232,Lisa Hall,30
OP-233,John Doe,5
OP-234,Elizabeth Martin,2
OP-235,David Taylor,15
OP-236,William Harris,11
OP-237,Margaret Rodriguez,29
OP-238,Sarah Wilson,2
OP-239,Patricia Thomas,14
OP-240,Maria Garcia,7
OP-241,Emily Davis,4
OP-242,Christopher Walker,17
OP-243,Jane Smith,20
OP-244,David Taylor,7
OP-245,Nancy Young,11
OP-246,Charles Martinez,6
OP-247,Joseph Clark,17
OP-248,Christopher Walker,3
OP-249,Daniel Allen,14
OP-250,Mark Wright,14
OP-251,Lisa Hall,10
OP-252,John Doe,6
OP-253,Thomas Lewis,23
OP-254,Robert Johnson,4
OP-255,Margaret Rodriguez,3
OP-256,Jackson Martinez,8
OP-257,Sarah Wilson,14
OP-258,William Harris,27
OP-259,Michael Brown,5
OP-260,Sarah Wilson,25
OP-261,Robert Johnson,25
OP-262,Maria Garcia,25
OP-263,Christopher Walker,19
OP-264,Thomas Lewis,21
OP-265,Maria Garcia,14
OP-266,Margaret Rodriguez,33
OP-267,Maria Garcia,14
OP-268,Mark Wright,3
OP-269,Susan Robinson,19
OP-270,Paul Hernandez,2
OP-271,Paul Hernandez,7
OP-272,Charles Martinez,2
OP-273,Paul Hernandez,11
OP-274,Robert Johnson,6
OP-275,Lisa Hall,15
OP-276,Thomas Lewis,12
OP-277,Elizabeth Martin,11
OP-278,Jane Smith,21
OP-279,Barbara White,22
